STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/14/28,,,,,0,",,0,",21.1,",,0",8.9,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/15/28,,,,,0.8,",,0,",20.6,",,0",12.2,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/16/28,,,,,19.3,",,0,",20.6,",,0",15,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/17/28,,,,,0,",,0,",25,",,0",15.6,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/18/28,,,,,4.1,",,0,",23.9,",,0",12.2,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/19/28,,,,,0,"T,,0,",20.6,",,0",10.6,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/20/28,,,,,0,",,0,",26.1,",,0",8.9,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/21/28,,,,,0,",,0,",21.7,",,0",9.4,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/22/28,,,,,0,",,0,",25.6,",,0",8.9,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/23/28,,,,,0,",,0,",16.7,",,0",6.7,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/24/28,,,,,3.8,",,0,",28.9,",,0",5.6,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/25/28,,,,,0,"T,,0,",18.3,",,0",8.9,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/26/28,,,,,8.6,",,0,",15.6,",,0",7.2,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/27/28,,,,,0.3,",,0,",17.8,",,0",5.6,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/28/28,,,,,0,",,0,",17.8,",,0",6.7,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/29/28,,,,,0,"T,,0,",18.3,",,0",10.6,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/30/28,,,,,0,"T,,0,",20,",,0",7.8,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/31/28,,,,,0,",,0,",19.4,",,0",5,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/1/28,,,,,0,",,0,",25.6,",,0",11.1,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/2/28,,,,,0,",,0,",14.4,",,0",8.9,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/3/28,,,,,0,",,0,",21.7,",,0",7.2,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/4/28,,,,,0.3,",,0,",15,",,0",10.6,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/5/28,,,,,8.6,",,0,",12.2,",,0",8.9,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/6/28,,,,,0.5,",,0,",14.4,",,0",8.9,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/7/28,,,,,0,",,0,",21.7,",,0",7.2,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/8/28,,,,,0,"T,,0,",23.3,",,0",15,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/9/28,,,,,0,",,0,",17.8,",,0",7.8,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/10/28,,,,,0,",,0,",22.2,",,0",5,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/11/28,,,,,0,",,0,",24.4,",,0",9.4,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/12/28,,,,,0,"T,,0,",30.6,",,0",14.4,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/13/28,,,,,0,"T,,0,",26.1,",,0",15,",,0",,
